Date,WMT,FB
4/19/2016,66.932793,112.290001
4/20/2016,66.395569,112.419998
4/21/2016,65.685654,113.440002
4/22/2016,65.925499,110.559998
4/25/2016,66.645004,110.099998
4/26/2016,66.481911,108.760002
4/27/2016,66.597023,108.889999
4/28/2016,66.107765,116.730003
4/29/2016,64.150726,117.580002
5/2/2016,64.841438,118.57
5/3/2016,64.275436,117.43
5/4/2016,64.45771,118.059998
5/5/2016,64.476891,117.809998
5/6/2016,65.474609,119.489998
5/9/2016,66.146149,119.239998
5/10/2016,65.992638,120.5
5/11/2016,64.175896,119.519997
5/12/2016,64.601097,120.279999
5/13/2016,62.755352,119.809998
5/16/2016,63.799011,118.669998
5/17/2016,62.909962,117.349998
5/18/2016,61.025562,117.650002
5/19/2016,66.872025,116.809998
5/20/2016,67.509827,117.349998
5/23/2016,67.161934,115.970001
5/24/2016,67.877052,117.699997
5/25/2016,68.108978,117.889999
5/26/2016,68.466522,119.470001
5/27/2016,68.369888,119.379997
5/31/2016,68.39888,118.809998
6/1/2016,68.128296,118.779999
6/2/2016,68.563164,118.93
6/3/2016,68.485855,118.470001
6/6/2016,68.659798,118.790001
6/7/2016,68.640465,117.760002
6/8/2016,68.882065,118.389999
6/9/2016,68.698448,118.559998
6/10/2016,68.746773,116.620003
6/13/2016,68.157288,113.949997
6/14/2016,68.563164,114.940002
6/15/2016,68.727448,114.599998
6/16/2016,68.90139,114.389999
6/17/2016,68.563164,113.019997
6/20/2016,68.708115,113.370003
6/21/2016,69.056007,114.379997
6/22/2016,69.33625,113.910004
6/23/2016,69.674477,115.080002
6/24/2016,69.539177,112.080002
6/27/2016,69.094658,108.970001
6/28/2016,69.104332,112.699997
6/29/2016,70.022362,114.160004
6/30/2016,70.563522,114.279999
7/1/2016,70.36058,114.190002
7/5/2016,70.679489,114.199997
7/6/2016,71.336617,116.699997
7/7/2016,71.056374,115.849998
7/8/2016,71.355927,117.239998
7/11/2016,71.568535,117.870003
7/12/2016,70.805115,117.93
7/13/2016,71.143341,116.779999
7/14/2016,71.220642,117.290001
7/15/2016,71.191658,116.860001
7/18/2016,71.355927,119.370003
7/19/2016,71.181999,120.610001
7/20/2016,71.307617,121.919998
7/21/2016,71.0467,120.610001
7/22/2016,71.075706,121
7/25/2016,71.268967,121.629997
7/26/2016,71.249634,121.220001
7/27/2016,70.853432,123.339996
7/28/2016,70.776115,125
7/29/2016,70.515213,123.940002
8/1/2016,71.297958,124.309998
8/2/2016,70.669815,123.089996
8/3/2016,70.486214,122.510002
8/4/2016,70.834114,124.360001
8/5/2016,71.278633,125.150002
8/8/2016,70.872757,125.260002
8/9/2016,71.066032,125.059998
8/10/2016,71.951439,124.879997
8/11/2016,71.805496,124.900002
8/12/2016,71.893059,124.879997
8/15/2016,71.338463,123.900002
8/16/2016,70.92009,123.300003
8/17/2016,70.959007,124.370003
8/18/2016,72.291977,123.910004
8/19/2016,70.842247,123.559998
8/22/2016,70.735207,124.150002
8/23/2016,70.024948,124.370003
8/24/2016,70.277924,123.480003
8/25/2016,69.295219,123.889999
8/26/2016,69.217384,124.959999
8/29/2016,69.470352,126.540001
8/30/2016,69.382782,125.839996
8/31/2016,69.50927,126.120003
9/1/2016,70.871429,126.169998
9/2/2016,70.540627,126.510002
9/6/2016,71.027115,129.729996
9/7/2016,70.112518,131.050003
9/8/2016,69.888741,130.270004
9/9/2016,68.400085,127.099998
9/12/2016,69.995758,128.690002
9/13/2016,69.528725,127.209999
9/14/2016,69.587112,127.769997
9/15/2016,70.443329,128.350006
9/16/2016,70.900627,129.070007
9/19/2016,70.141708,128.649994
9/20/2016,70.024948,128.639999
9/21/2016,70.239006,129.940002
9/22/2016,70.316841,130.080002
9/23/2016,70.394676,127.959999
9/26/2016,69.68441,127.309998
9/27/2016,70.375221,128.690002
9/28/2016,69.849815,129.229996
9/29/2016,68.818466,128.089996
9/30/2016,70.170898,128.270004
10/3/2016,70.063873,128.770004
10/4/2016,69.81089,128.190002
10/5/2016,69.733063,128.470001
10/6/2016,67.485489,128.740005
10/7/2016,66.843323,128.990005
10/10/2016,66.142792,130.240005
10/11/2016,65.568726,128.880005
10/12/2016,65.636833,129.050003
10/13/2016,66.386024,127.82
10/14/2016,66.600075,127.879997
10/17/2016,66.376297,127.540001
10/18/2016,67.008736,128.570007
10/19/2016,67.028183,130.110001
10/20/2016,66.872513,130
10/21/2016,66.493057,132.070007
10/24/2016,67.320084,133.279999
10/25/2016,67.485489,132.289993
10/26/2016,67.709267,131.039993
10/27/2016,67.942795,129.690002
10/28/2016,68.098465,131.289993
10/31/2016,68.127647,130.990005
11/1/2016,67.427109,129.5
11/2/2016,67.573051,127.169998
11/3/2016,67.748192,120
11/4/2016,67.290901,120.75
11/7/2016,67.894135,122.150002
11/8/2016,67.90387,124.220001
11/9/2016,69.178459,123.18
11/10/2016,69.460625,120.800003
11/11/2016,69.304962,119.019997
